LINCS_ID	CL_Name	Cell_Category	Center	Assay	Organ	Disease	StudyArea
LCL-1460	MCF-7	Cell Line	HMS_LINCS;MEP_LINCS;BroadT_LINCS;PCCSE;CMT_MGH;HMS_LINCS;HMS_LINCS;HMS_LINCS	Fluorescence imaging cell count assay;MEMA cell growth assay;L1000 mRNA profiling assay;Global chromatin epigenetic profiling assay;P100 phosphoprotein quantification assay;Fluorescence imaging cell growth inhibition assay;Fluorescence imaging morphology assay;Fluorescence imaging protein state assay;ELISA protein state assay	breast	breast adenocarcinoma	Imaging;Transcriptomics;Proteomics;Epigenomics;Binding
LCL-1902	Tera-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	testes	testicular germ cell cancer	Imaging
LCL-1929	JHH-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	liver	hepatocellular carcinoma	Imaging
LCL-1550	KYSE-450	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	esophagus	esophageal squamous cell carcinoma	Imaging
LCL-1473	MT-3	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	breast	breast carcinoma	Imaging
LCL-1903	NCC-IT-A3	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	testes	mediastinum teratoma	Imaging
LCL-1706	DSH1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	urinary tract	bladder carcinoma	Imaging
LCL-1182	LS174T	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	colon carcinoma;colon adenocarcinoma	Imaging
LCL-1337	LS411N	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	cecum adenocarcinoma	Imaging
LCL-2106	HUVEC	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay			Transcriptomics
LCL-1695	FU-OV-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	ovary	ovarian carcinoma	Imaging
LCL-1018	MOLT-16	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-2009	KM-H2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system		Imaging
LCL-1694	A2780ADR	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	ovary	ovarian carcinoma	Imaging
LCL-1247	IGR-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1263	WM35	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1111	BV-173	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	chronic myeloid leukemia	Imaging
LCL-1439	ES1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	bone	bone Ewings sarcoma	Imaging
LCL-1338	LS513	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	cecum adenocarcinoma	Imaging
