"Compound","Assays"
"LSM-1068","L1000 mRNA profiling assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging protein state assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1023","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity##MS protein state assay"
"LSM-1139","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##Bead-based immunoassay for protein state##MS protein state assay##Aggregated small molecule biochemical target activity"
"LSM-6348","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Fluorescence imaging cell viability assay##Aggregated small molecule biochemical target activity"
"LSM-1001","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1008","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity##MS protein state assay"
"LSM-1079","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Cellarium metabolic profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1114","L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##MS protein state assay##Aggregated small molecule biochemical target activity"
"LSM-1056","L1000 mRNA profiling assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1227","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##Bead-based immunoassay for protein state##MS protein state assay##Aggregated small molecule biochemical target activity"
"LSM-1014","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1021","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1103","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1041","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1097","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##MS protein state assay##Aggregated small molecule biochemical target activity"
