"Cell","Assays"
"MCF7","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##ELISA protein state assay##Fluorescence imaging protein state assay##Fluorescence imaging morphology assay##MEMA cell growth assay"
"A549","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##ELISA protein secretion profiling assay"
"YAPC","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##MEMA cell growth assay"
"SW620","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"AGS","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"BT-474","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"BT-483","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"BT-549","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1419","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-134-VI","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-175-VII","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"UACC-812","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"UACC-893","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"ZR-75-1","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1187","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1395","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1937","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1954","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay"
"HCC202","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
